x,y,token
-33.38628005981445,40.977256774902344,obtain
-2.8012535572052,52.36835861206055,ALL
-7.059793949127197,54.792781829833984,SIR
34.861656188964844,8.338119506835938,firstling
-54.60301208496094,-0.05661861225962639,Hill
-6.276707649230957,23.967811584472656,traitor
-14.793113708496094,17.244083404541016,regards
-25.328622817993164,-44.35942840576172,rigid
-27.669300079345703,41.53150177001953,marry
-45.84771728515625,-28.566743850708008,Gingerbread
-26.792701721191406,33.792579650878906,easily
-37.06687927246094,-3.221691131591797,Derick
-9.892109870910645,-45.024696350097656,humming
13.09990119934082,34.28815460205078,suite
-4.091846942901611,-6.382296562194824,rescue
5.1965556144714355,-32.3588981628418,threads
40.2203254699707,-22.121871948242188,masons
-55.529911041259766,19.88753318786621,nervous
-28.995868682861328,25.691007614135742,reason
